"學校代碼","鄉鎮""","學校名稱","網址","國中小"
074308,"彰化市","彰化藝術高中","www.chash.chc.edu.tw",23
074313,"二林鎮","二林高中","www.elsh.chc.edu.tw",23
074529,"二水鄉","二水國中","www.esjh.chc.edu.tw",2
074323,"和美鎮","和美高中","www.hmjh.chc.edu.tw",23
074328,"田中鎮","田中高中","www.tcjh.chc.edu.tw",23
074339,"溪湖鎮","成功高中","www.cksh.chc.edu.tw",23
074501,"北斗鎮","北斗國中","www.ptjhs.chc.edu.tw",2
074502,"鹿港鎮","鹿港國中","www.lkjh.chc.edu.tw",2
074503,"鹿港鎮","鹿鳴國中","www.lmjh.chc.edu.tw",2
074504,"線西鄉","線西國中","www.hhjh.chc.edu.tw",2
074505,"彰化市","陽明國中","www.ymsc.chc.edu.tw",2
074506,"彰化市","彰安國中","www.cajh.chc.edu.tw",2
074507,"彰化市","彰德國中","www.ctjh.chc.edu.tw",2
074509,"芬園鄉","芬園國中","www.fyjh.chc.edu.tw",2
074510,"員林市","員林國中","www.yljh.chc.edu.tw",2
074511,"員林市","明倫國中","www.mljh.chc.edu.tw",2
074512,"二林鎮","萬興國中","www.whjh.chc.edu.tw",2
074514,"竹塘鄉","竹塘國中","www.ctjhs.chc.edu.tw",2
074515,"大城鄉","大城國中","www.tcjhs.chc.edu.tw",2
074516,"芳苑鄉","草湖國中","www.thjh.chc.edu.tw",2
074517,"芳苑鄉","芳苑國中","www.fyjhs.chc.edu.tw",2
074518,"溪湖鎮","溪湖國中","www.cfjh.chc.edu.tw",2
074519,"埔鹽鄉","埔鹽國中","www.pyjh.chc.edu.tw",2
074520,"埔心鄉","埔心國中","www.psjh.chc.edu.tw",2
074521,"福興鄉","福興國中","www.fsjh.chc.edu.tw",2
074522,"秀水鄉","秀水國中","www.hsjh.chc.edu.tw",2
074524,"伸港鄉","伸港國中","www.skjh.chc.edu.tw",2
074525,"大村鄉","大村國中","www.ttjh.chc.edu.tw",2
074526,"花壇鄉","花壇國中","www.htjh.chc.edu.tw",2
074527,"永靖鄉","永靖國中","www.ycjh.chc.edu.tw",2
074530,"社頭鄉","社頭國中","www.stjh.chc.edu.tw",2
074531,"田尾鄉","田尾國中","www.twjh.chc.edu.tw",2
074532,"溪州鄉","溪州國中","www.ccjh.chc.edu.tw",2
074533,"溪州鄉","溪陽國中","www.hyjh.chc.edu.tw",2
074534,"埤頭鄉","埤頭國中","www.ptjh.chc.edu.tw",2
074535,"和美鎮","和群國中","www.hcjh.chc.edu.tw",2
074536,"員林市","大同國中","www.ttjhs.chc.edu.tw",2
074538,"彰化市","彰興國中","www.csjh.chc.edu.tw",2
074540,"彰化市","彰泰國中","www.ctsjh.chc.edu.tw",2
074541,"彰化市","信義國中小","www.hyjhes.chc.edu.tw",12
074542,"鹿港鎮","鹿江國際中小學","www.ljis.chc.edu.tw",12
074601,"彰化市","中山國小","www.cses.chc.edu.tw",1
074602,"彰化市","民生國小","www.mses.chc.edu.tw",1
074603,"彰化市","平和國小","www.phes.chc.edu.tw",1
074604,"彰化市","南郭國小","www.nges.chc.edu.tw",1
074605,"彰化市","南興國小","www.nses.chc.edu.tw",1
074606,"彰化市","東芳國小","www.tfps.chc.edu.tw",1
074607,"彰化市","泰和國小","www.thps.chc.edu.tw",1
074608,"彰化市","三民國小","www.smes.chc.edu.tw",1
074609,"彰化市","聯興國小","www.lsps.chc.edu.tw",1
074610,"彰化市","大竹國小","www.tces.chc.edu.tw",1
074611,"彰化市","國聖國小","www.gses.chc.edu.tw",1
074612,"彰化市","快官國小","www.kges.chc.edu.tw",1
074613,"彰化市","石牌國小","www.spes.chc.edu.tw",1
074614,"彰化市","忠孝國小","www.jsps.chc.edu.tw",1
074615,"芬園鄉","芬園國小","www.fyps.chc.edu.tw",1
074616,"芬園鄉","富山國小","www.fsps.chc.edu.tw",1
074617,"芬園鄉","寶山國小","www.bses.chc.edu.tw",1
074618,"芬園鄉","同安國小","www.taes.chc.edu.tw",1
074619,"芬園鄉","文德國小","www.wdes.chc.edu.tw",1
074620,"芬園鄉","茄荖國小","www.cles.chc.edu.tw",1
074621,"花壇鄉","花壇國小","www.htes.chc.edu.tw",1
074622,"花壇鄉","文祥國小","www.wses.chc.edu.tw",1
074623,"花壇鄉","華南國小","www.hnes.chc.edu.tw",1
074624,"花壇鄉","僑愛國小","www.caps.chc.edu.tw",1
074625,"花壇鄉","三春國小","www.sstps.chc.edu.tw",1
074626,"花壇鄉","白沙國小","www.bsps.chc.edu.tw",1
074627,"和美鎮","和美國小","www.hmps.chc.edu.tw",1
074628,"和美鎮","和東國小","www.hdes.chc.edu.tw",1
074629,"和美鎮","大嘉國小","www.dces.chc.edu.tw",1
074630,"和美鎮","大榮國小","www.dres.chc.edu.tw",1
074631,"和美鎮","新庄國小","www.ssjes.chc.edu.tw",1
074632,"和美鎮","培英國小","www.pyps.chc.edu.tw",1
074633,"線西鄉","線西國小","www.sces.chc.edu.tw",1
074634,"線西鄉","曉陽國小","www.syes.chc.edu.tw",1
074635,"伸港鄉","新港國小","www.sgps.chc.edu.tw",1
074636,"伸港鄉","伸東國小","www.sdes.chc.edu.tw",1
074637,"伸港鄉","伸仁國小","www.sres.chc.edu.tw",1
074638,"伸港鄉","大同國小","www.dtes.chc.edu.tw",1
074639,"鹿港鎮","鹿港國小","www.lges.chc.edu.tw",1
074640,"鹿港鎮","文開國小","www.wkes.chc.edu.tw",1
074641,"鹿港鎮","洛津國小","www.ljes.chc.edu.tw",1
074642,"鹿港鎮","海埔國小","www.hpes.chc.edu.tw",1
074643,"鹿港鎮","新興國小","www.bsses.chc.edu.tw",1
074644,"鹿港鎮","草港國小","www.tges.chc.edu.tw",1
074645,"鹿港鎮","頂番國小","www.dfes.chc.edu.tw",1
074646,"鹿港鎮","東興國小","www.sdses.chc.edu.tw",1
074647,"福興鄉","管嶼國小","www.gyes.chc.edu.tw",1
074648,"福興鄉","文昌國小","www.wces.chc.edu.tw",1
074649,"福興鄉","西勢國小","www.ssses.chc.edu.tw",1
074650,"福興鄉","大興國小","www.bdsps.chc.edu.tw",1
074651,"福興鄉","永豐國小","www.yfes.chc.edu.tw",1
074652,"福興鄉","日新國小","www.rses.chc.edu.tw",1
074653,"福興鄉","育新國小","www.yses.chc.edu.tw",1
